,id,name,colors,Category,Description,price,link
0,DD1918-010,Nike Pro Dri-FIT,Black/WhiteStyle,Men's Shorts,"Much more than a base layer, the Nike Pro Dri-FIT Shorts hug you with lightweight fabric that keeps you feeling dry, cool and supported from warm-ups through to cool-downs. They're made from at least 75% recycled polyester fibres in a stretchy design that helps you move at full intensity during your toughest workouts or competitions.",1 495,https://www.nike.com/in/t/pro-dri-fit-shorts-8jxLsr/DD1918-010
1,DN4094-010,Nike ESC,BlackStyle,Men's Lightweight Jacket,"The iconic WW2 deck jacket serves as inspiration for this lightweight and comfortable layering staple. Its waist-length design features a covered button placket, darted patterning for shape and a convertible collar for easy wear. An internal carrying strap lets you sling it over your shoulder when you're not wearing it for hands-free convenience.",26 995,https://www.nike.com/in/t/esc-lightweight-jacket-ZgMQFp/DN4094-010
2,DJ7647-609,Liverpool F.C. 2022/23 Match Home,Tough Red/Team Red/WhiteStyle,Men's Nike Dri-FIT ADV Football Shirt,"Like other shirts from our Match collection, this one pairs authentic design details with lightweight, quick-drying fabric to help keep the world's biggest football stars cool and comfortable on the pitch. This product is made from 100% recycled polyester fibres.",7 995,https://www.nike.com/in/t/liverpool-fc-2022-23-match-home-dri-fit-adv-football-shirt-7SPRhx/DJ7647-609
3,DM1843-609,Liverpool F.C. 2022/23 Stadium Home,Tough Red/Team Red/WhiteStyle,Men's Nike Dri-FIT Football Shirt,"Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team. This product is made from 100% recycled polyester fibres.",4 695,https://www.nike.com/in/t/liverpool-fc-2022-23-stadium-home-dri-fit-football-shirt-XhnBrv/DM1843-609
4,DH0858-010,NikeCourt Dri-FIT,Black/WhiteStyle,Men's Tennis Polo,"Made from soft knit fabric that's made from 100% recycled polyester fibres, the NikeCourt Dri-FIT Polo is a classic-looking, sweat-wicking court staple.",1 895,https://www.nike.com/in/t/nikecourt-dri-fit-tennis-polo-xQtSz0/DH0858-010
5,CU5993-100,Nike Dri-FIT Miler,WhiteStyle,Men's Running Top,Take on your daily route with the Nike Dri-FIT Miler Top.It offers lightweight performance and mobility for the entry-level runner.This product is made from at least 50% recycled polyester fibres.,1 695,https://www.nike.com/in/t/dri-fit-miler-running-top-gJH4Zt/CU5993-100
6,AR4999-570,Nike Sportswear Club,Light ThistleStyle,Men's T-Shirt,"The Nike Sportswear Club T-Shirt is made with our everyday cotton fabric and a classic fit, for a familiar feel right out of the bag. An embroidered Futura logo on the chest provides a signature Nike look.",1 295,https://www.nike.com/in/t/sportswear-club-t-shirt-K8nM0q/AR4999-570
7,CU4496-722,Nike Sportswear Tech Fleece,Elemental Gold/SailStyle,Men's Joggers,"Ready for cooler weather, the Nike Sportswear Tech Fleece Joggers feature an updated fit perfect for everyday wear. Roomy through the thigh, this tapered design narrows at the knee to give you a comfortable feel without losing the clean, tailored look you love. Tall ribbed cuffs complete the jogger look while a zipped pocket on the right leg provides secure small-item storage and elevates the look.",5 495,https://www.nike.com/in/t/sportswear-tech-fleece-joggers-h1ntxv/CU4496-722
8,CZ1182-492,Nike Pro Dri-FIT,Blue Void/Game Royal/Heather/BlackStyle,Men's Short-Sleeve Top,"The Nike Pro Dri-FIT Top helps keep you cool, dry and moving freely through your workout. Lightweight fabric with plenty of stretch is made from at least 50% recycled polyester fibres.",1 995,https://www.nike.com/in/t/pro-dri-fit-short-sleeve-top-xrfWkz/CZ1182-492
9,CZ1220-369,Nike Dri-FIT Superset,Light Menta/BlackStyle,Men's Short-Sleeve Training Top,"The Nike Dri-FIT Superset Top feels smooth and non-restrictive as you push, pull and lift with a design that shifts the shoulder seams out of the way. Breathable fabric helps you stay cool.",1 695,https://www.nike.com/in/t/dri-fit-superset-short-sleeve-training-top-hCQdMj/CZ1220-369
