,id,name,colors,Category,Description,price,link
0,DN3707-160,Air Jordan 3 Retro,White/Black/Cement Grey/Fire RedStyle,Men's Shoes,"Clean and supreme, the AJ3 returns with all of its classic style and grace. Quality leather in the upper—with that luxurious elephant print texture—is combined with visible Air in the sole to make a comfortable, everyday icon. Fire-red details burn through, giving you one hot look.",19 295,https://www.nike.com/in/t/air-jordan-3-retro-shoes-lnD0DV/DN3707-160
1,575441-711,Air Jordan 1 Retro High OG,Taxi/Sail/BlackStyle,Boys' Shoe,"This iteration of the AJ1 re-imagines Mike's first signature model with a fresh mix of colours. Premium materials, soft cushioning and a padded ankle collar offer total support and celebrate the shoe that started it all.",9 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoe-PLe8kL/575441-711
2,555088-037,Air Jordan 1 Retro High OG,Stealth/WhiteStyle,Shoes,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-G8hcQx/555088-037
3,CT0978-501,Air Jordan 1 Zoom CMFT,Dark Iris/Black/Sail/WhiteStyle,Shoes,"Making iconic style even more comfortable. The Air Jordan 1 Zoom Cmft remakes the 1st Air Jordan with lightweight, low-profile cushioning and elements that improve wearability. Leathers and textiles in the upper have a broken-in feel. A lined, padded collar cups the heel for a secure fit.",12 495,https://www.nike.com/in/t/air-jordan-1-zoom-cmft-shoes-mDxHSk/CT0978-501
4,555088-404,Air Jordan 1 Retro High OG,Dark Marina Blue/White/BlackStyle,Shoes,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",15 495,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-a7Zzxm/555088-404
5,554724-135,Air Jordan 1 Mid,White/StealthStyle,Shoes,"Inspired by the original AJ1, the Air Jordan 1 Mid offers fans a chance to follow in MJ's footsteps. Fresh colour trims the clean, classic materials, imbuing modernity into a classic design.",10 295,https://www.nike.com/in/t/air-jordan-1-mid-shoes-BpARGV/554724-135
6,DC0774-007,Air Jordan 1 Low,Pure Platinum/White/Citron TintStyle,Women's Shoe,"Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colours, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel.",8 295,https://www.nike.com/in/t/air-jordan-1-low-shoe-459b4T/DC0774-007
7,DM9036-104,Air Jordan 1 Retro High OG,White/Metallic Gold/Chile Red/Boarder BlueStyle,Women's Shoes,"Upgrade your Js with blue jeans and bling. Outfitted in washed denim and gold hoop dubraes, this high-top pair keeps it casual while making a statement with every step.",15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-1QP6Gw/DM9036-104
8,DV9565-006,Air Jordan 1 Mid SE,Black/White/Sail/Infrared 23Style,Men's Shoes,"Fresh look, familiar feel. Every time we update the AJ-1, you get the classic kicks you already love, decked out in new combinations of colours and textures. Premium materials and accents bring modern expression to an all-time favourite.",11 895,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-fcz83T/DV9565-006
9,DJ4891-061,Air Jordan 1 Retro High OG,Light Iron Ore/Sail/Varsity RedStyle,Women's Shoes,Relive the moment you made the team with these varsity-jacket-inspired kicks. Chenille fabric on the Swoosh and classic varsity colours celebrate your journey to greatness—and help you look good along the way.,15 995,https://www.nike.com/in/t/air-jordan-1-retro-high-og-shoes-h2pxgz/DJ4891-061
